year,month,count
1991,1,16
1991,2,50
1991,3,60
1991,4,66
1991,5,75
1991,6,99
1991,7,54
1991,8,102
1991,9,73
1991,10,74
1991,11,82
1991,12,96
1992,1,138
1992,2,84
1992,3,152
1992,4,117
1992,5,9
1992,6,137
1992,7,137
1992,8,151
1992,9,201
1992,10,221
1992,11,124
1992,12,107
1993,1,176
1993,2,180
1993,3,151
1993,4,142
1993,5,51
1993,6,251
1993,7,233
1993,8,207
1993,9,312
1993,10,202
1993,11,172
1993,12,213
1994,1,259
1994,2,235
1994,3,245
1994,4,339
1994,5,239
1994,6,232
1994,7,220
1994,8,301
1994,9,293
1994,10,273
1994,11,295
1994,12,171
1995,1,315
1995,2,342
1995,3,363
1995,4,283
1995,5,304
1995,6,265
1995,7,298
1995,8,307
1995,9,229
1995,10,254
1995,11,251
1995,12,176
1996,1,240
1996,2,262
1996,3,237
1996,4,180
1996,5,228
1996,6,190
1996,7,196
1996,8,211
1996,9,234
1996,10,230
1996,11,262
1996,12,171
1997,1,237
1997,2,261
1997,3,242
1997,4,226
1997,5,327
1997,6,245
1997,7,315
1997,8,184
1997,9,215
1997,10,325
1997,11,259
1997,12,166
1998,1,165
1998,2,178
1998,3,208
1998,4,158
1998,5,150
1998,6,186
1998,7,116
1998,8,146
1998,9,193
1998,10,203
1998,11,72
1998,12,94
1999,1,179
1999,2,231
1999,3,285
1999,4,229
1999,5,252
1999,6,166
1999,7,244
1999,8,167
1999,9,214
1999,10,233
1999,11,228
1999,12,176
2000,1,240
2000,2,320
2000,3,266
2000,4,194
2000,5,203
2000,6,197
2000,7,230
2000,8,248
2000,9,221
2000,10,178
2000,11,218
2000,12,144
2001,1,282
2001,2,283
2001,3,290
2001,4,215
2001,5,205
2001,6,214
2001,7,147
2001,8,216
2001,9,158
2001,10,243
2001,11,243
2001,12,251
2002,1,233
2002,2,170
2002,3,219
2002,4,243
2002,5,289
2002,6,213
2002,7,229
2002,8,185
2002,9,161
2002,10,269
2002,11,246
2002,12,164
2003,1,217
2003,2,172
2003,3,207
2003,4,223
2003,5,287
2003,6,166
2003,7,166
2003,8,133
2003,9,167
2003,10,208
2003,11,229
2003,12,172
2004,1,123
2004,2,133
2004,3,159
2004,4,169
2004,5,181
2004,6,165
2004,7,143
2004,8,113
2004,9,128
2004,10,130
2004,11,132
2004,12,97
2005,1,135
2005,2,156
2005,3,143
2005,4,158
2005,5,156
2005,6,290
2005,7,247
2005,8,150
2005,9,399
2005,10,413
2005,11,279
2005,12,283
2006,1,320
2006,2,328
2006,3,306
2006,4,257
2006,5,242
2006,6,180
2006,7,262
2006,8,141
2006,9,216
2006,10,238
2006,11,217
2006,12,165
2007,1,175
2007,2,215
2007,3,228
2007,4,219
2007,5,227
2007,6,220
2007,7,230
2007,8,229
2007,9,200
2007,10,272
2007,11,200
2007,12,211
2008,1,226
2008,2,208
2008,3,213
2008,4,272
2008,5,190
2008,6,213
2008,7,193
2008,8,218
2008,9,128
2008,10,184
2008,11,198
2008,12,180
2009,1,150
2009,2,194
2009,3,259
2009,4,228
2009,5,193
2009,6,257
2009,7,235
2009,8,234
2009,9,251
2009,10,200
2009,11,229
2009,12,167
2010,1,167
2010,2,189
2010,3,229
2010,4,209
2010,5,253
2010,6,196
2010,7,169
2010,8,262
2010,9,217
2010,10,168
2010,11,198
2010,12,245
2011,1,319
2011,2,218
2011,3,233
2011,4,244
2011,5,290
2011,6,214
2011,7,168
2011,8,183
2011,9,198
2011,10,230
2011,11,162
2011,12,150
2012,1,112
2012,2,187
2012,3,214
2012,4,206
2012,5,195
2012,6,141
2012,7,141
2012,8,216
2012,9,176
2012,10,125
2012,11,133
2012,12,84
2013,1,130
2013,2,180
2013,3,156
2013,4,135
2013,5,122
2013,6,122
2013,7,165
2013,8,79
2013,9,88
2013,10,83
2013,11,95
2013,12,104
2014,1,131
2014,2,188
2014,3,67
2014,4,85
2014,5,161
2014,6,174
2014,7,75
2014,8,83
2014,9,82
2014,10,140
2014,11,102
2014,12,62
2015,1,134
2015,2,85
2015,3,145
2015,4,124
2015,5,80
2015,6,74
2015,7,66
2015,8,85
2015,9,158
2015,10,41
2015,11,69
2015,12,41
2016,1,43
2016,2,89
2016,3,46
2016,4,37
2016,5,65
2016,6,35
2016,7,73
2016,8,52
2016,9,21
2016,10,83
2016,11,67
2016,12,38
2017,1,39
2017,2,45
2017,3,57
2017,4,55
2017,5,46
2017,6,46
2017,7,49
2017,8,44
2017,9,62
2017,10,33
2017,11,27
2017,12,43
2018,1,28
2018,2,61
2018,3,19
2018,4,59
2018,5,41
2018,6,34
2018,7,52
2018,8,32
2018,9,32
2018,10,53
2018,11,29
2018,12,14
2019,1,27
2019,2,29
2019,3,31
2019,4,55
2019,5,38
2019,6,18
2019,7,32
2019,8,14
2019,9,31
2019,10,10
2019,11,17
2019,12,39
2020,1,51
2020,2,20
2020,3,26
2020,4,37
2020,5,27
2020,6,46
2020,7,26
2020,8,11
2020,9,15
2020,10,21
2020,11,30
2020,12,25
2021,1,11
2021,2,23
2021,3,9
2021,4,17
2021,5,41
2021,6,68
2021,7,11
2021,8,18
2021,9,15
2021,10,17
2021,11,33
2021,12,47
2022,1,25
2022,2,20
2022,3,24
2022,4,24
2022,5,60
2022,6,25
2022,7,33
